song,artist,dates,play_value,requested_value,year,type,type_of_performer,duration,language,tabber,source,first_play_date,difficulty,special books,decade
(Don't Fear) The Reaper (Single Version),Blue Öyster Cult,2022-04-19,Unknown,Unknown,1976,Group,male,00:03:46,english,Bastien,new,2024-10-15,2.217,halloween2024,1970
(Don't Fear) The Reaper (Single Version),Blue Öyster Cult,2022-08-23,Unknown,Unknown,1976,Group,male,00:03:46,english,Bastien,new,2024-10-15,2.217,halloween2024,1970
(Don't Fear) The Reaper (Single Version),Blue Öyster Cult,2022-08-30,Unknown,Unknown,1976,Group,male,00:03:46,english,Bastien,new,2024-10-15,2.217,halloween2024,1970
(Don't Fear) The Reaper (Single Version),Blue Öyster Cult,2022-09-06,Unknown,Unknown,1976,Group,male,00:03:46,english,Bastien,new,2024-10-15,2.217,halloween2024,1970
(Don't Fear) The Reaper (Single Version),Blue Öyster Cult,2022-09-13,Unknown,Unknown,1976,Group,male,00:03:46,english,Bastien,new,2024-10-15,2.217,halloween2024,1970
(Don't Fear) The Reaper (Single Version),Blue Öyster Cult,2022-09-20,Unknown,Unknown,1976,Group,male,00:03:46,english,Bastien,new,2024-10-15,2.217,halloween2024,1970
(Don't Fear) The Reaper (Single Version),Blue Öyster Cult,2022-09-27,Unknown,Unknown,1976,Group,male,00:03:46,english,Bastien,new,2024-10-15,2.217,halloween2024,1970
(Don't Fear) The Reaper (Single Version),Blue Öyster Cult,2022-10-04,Unknown,Unknown,1976,Group,male,00:03:46,english,Bastien,new,2024-10-15,2.217,halloween2024,1970
(Don't Fear) The Reaper (Single Version),Blue Öyster Cult,2022-10-11,Unknown,Unknown,1976,Group,male,00:03:46,english,Bastien,new,2024-10-15,2.217,halloween2024,1970
(Don't Fear) The Reaper (Single Version),Blue Öyster Cult,2022-10-18,Unknown,Unknown,1976,Group,male,00:03:46,english,Bastien,new,2024-10-15,2.217,halloween2024,1970
(Don't Fear) The Reaper (Single Version),Blue Öyster Cult,2022-10-25,Unknown,Unknown,1976,Group,male,00:03:46,english,Bastien,new,2024-10-15,2.217,halloween2024,1970
(Don't Fear) The Reaper (Single Version),Blue Öyster Cult,2022-11-01,Unknown,Unknown,1976,Group,male,00:03:46,english,Bastien,new,2024-10-15,2.217,halloween2024,1970
(Don't Fear) The Reaper (Single Version),Blue Öyster Cult,2022-11-08,Unknown,Unknown,1976,Group,male,00:03:46,english,Bastien,new,2024-10-15,2.217,halloween2024,1970
(Don't Fear) The Reaper (Single Version),Blue Öyster Cult,2022-11-15,Unknown,Unknown,1976,Group,male,00:03:46,english,Bastien,new,2024-10-15,2.217,halloween2024,1970
(Don't Fear) The Reaper (Single Version),Blue Öyster Cult,2022-11-22,Unknown,Unknown,1976,Group,male,00:03:46,english,Bastien,new,2024-10-15,2.217,halloween2024,1970
(Don't Fear) The Reaper (Single Version),Blue Öyster Cult,2022-11-29,Unknown,Unknown,1976,Group,male,00:03:46,english,Bastien,new,2024-10-15,2.217,halloween2024,1970
(Don't Fear) The Reaper (Single Version),Blue Öyster Cult,2022-12-06,Unknown,Unknown,1976,Group,male,00:03:46,english,Bastien,new,2024-10-15,2.217,halloween2024,1970
